"subindice","indicador","region","fecha","cantidad","decimal","dinero","porcentaje","caracter","unidad","fuente","categorias"
"Economía","Cantidad de Créditos Hipotecarios (trimestral)","La Laguna","2010-12-31","1548","\N","\N","\N","\N","Cantidad de Créditos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cantidad de Créditos Hipotecarios (trimestral)","La Laguna","2011-12-31","2755","\N","\N","\N","\N","Cantidad de Créditos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cantidad de Créditos Hipotecarios (trimestral)","La Laguna","2012-12-31","3124","\N","\N","\N","\N","Cantidad de Créditos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cantidad de Créditos Hipotecarios (trimestral)","La Laguna","2013-12-31","2915","\N","\N","\N","\N","Cantidad de Créditos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cantidad de Créditos Hipotecarios (trimestral)","La Laguna","2014-03-31","401","\N","\N","\N","\N","Cantidad de Créditos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cantidad de Créditos Hipotecarios (trimestral)","Lerdo","2010-12-31","76","\N","\N","\N","\N","Cantidad de Créditos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cantidad de Créditos Hipotecarios (trimestral)","Lerdo","2011-12-31","179","\N","\N","\N","\N","Cantidad de Créditos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cantidad de Créditos Hipotecarios (trimestral)","Lerdo","2012-12-31","340","\N","\N","\N","\N","Cantidad de Créditos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cantidad de Créditos Hipotecarios (trimestral)","Lerdo","2013-12-31","379","\N","\N","\N","\N","Cantidad de Créditos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cantidad de Créditos Hipotecarios (trimestral)","Lerdo","2014-03-31","27","\N","\N","\N","\N","Cantidad de Créditos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cantidad de Créditos Hipotecarios (trimestral)","Matamoros","2010-12-31","15","\N","\N","\N","\N","Cantidad de Créditos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cantidad de Créditos Hipotecarios (trimestral)","Matamoros","2011-12-31","152","\N","\N","\N","\N","Cantidad de Créditos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cantidad de Créditos Hipotecarios (trimestral)","Matamoros","2012-12-31","189","\N","\N","\N","\N","Cantidad de Créditos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cantidad de Créditos Hipotecarios (trimestral)","Matamoros","2013-12-31","39","\N","\N","\N","\N","Cantidad de Créditos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cantidad de Créditos Hipotecarios (trimestral)","Matamoros","2014-03-31","5","\N","\N","\N","\N","Cantidad de Créditos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cantidad de Créditos Hipotecarios (trimestral)","Torreón","2010-12-31","1269","\N","\N","\N","\N","Cantidad de Créditos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cantidad de Créditos Hipotecarios (trimestral)","Torreón","2011-12-31","1755","\N","\N","\N","\N","Cantidad de Créditos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cantidad de Créditos Hipotecarios (trimestral)","Torreón","2012-12-31","1565","\N","\N","\N","\N","Cantidad de Créditos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cantidad de Créditos Hipotecarios (trimestral)","Torreón","2013-12-31","1549","\N","\N","\N","\N","Cantidad de Créditos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cantidad de Créditos Hipotecarios (trimestral)","Torreón","2014-03-31","284","\N","\N","\N","\N","Cantidad de Créditos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cartera Hipotecaria","Gómez Palacio","2010-12-31","\N","\N","428193681.00","\N","\N","Pesos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cartera Hipotecaria","Gómez Palacio","2011-12-31","\N","\N","487730197.00","\N","\N","Pesos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cartera Hipotecaria","Gómez Palacio","2012-12-31","\N","\N","549445038.00","\N","\N","Pesos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cartera Hipotecaria","Gómez Palacio","2013-12-31","\N","\N","588858276.00","\N","\N","Pesos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cartera Hipotecaria","Gómez Palacio","2014-03-31","\N","\N","614765352.00","\N","\N","Pesos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cartera Hipotecaria","La Laguna","2010-12-31","\N","\N","4205870657.00","\N","\N","Pesos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cartera Hipotecaria","La Laguna","2011-12-31","\N","\N","4528969820.00","\N","\N","Pesos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cartera Hipotecaria","La Laguna","2012-12-31","\N","\N","4896553645.00","\N","\N","Pesos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cartera Hipotecaria","La Laguna","2013-12-31","\N","\N","5442162894.00","\N","\N","Pesos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cartera Hipotecaria","La Laguna","2014-03-31","\N","\N","5671976037.00","\N","\N","Pesos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cartera Hipotecaria","Lerdo","2010-12-31","\N","\N","231743194.00","\N","\N","Pesos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cartera Hipotecaria","Lerdo","2011-12-31","\N","\N","240598550.00","\N","\N","Pesos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cartera Hipotecaria","Lerdo","2012-12-31","\N","\N","261966994.00","\N","\N","Pesos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cartera Hipotecaria","Lerdo","2013-12-31","\N","\N","319887703.00","\N","\N","Pesos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cartera Hipotecaria","Lerdo","2014-03-31","\N","\N","334888287.00","\N","\N","Pesos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cartera Hipotecaria","Matamoros","2010-12-31","\N","\N","66279954.00","\N","\N","Pesos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cartera Hipotecaria","Matamoros","2011-12-31","\N","\N","59324405.00","\N","\N","Pesos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cartera Hipotecaria","Matamoros","2012-12-31","\N","\N","57375581.00","\N","\N","Pesos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cartera Hipotecaria","Matamoros","2013-12-31","\N","\N","56877995.00","\N","\N","Pesos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cartera Hipotecaria","Matamoros","2014-03-31","\N","\N","57702472.00","\N","\N","Pesos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cartera Hipotecaria","Torreón","2010-12-31","\N","\N","3479653828.00","\N","\N","Pesos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cartera Hipotecaria","Torreón","2011-12-31","\N","\N","3741316668.00","\N","\N","Pesos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cartera Hipotecaria","Torreón","2012-12-31","\N","\N","4027766032.00","\N","\N","Pesos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cartera Hipotecaria","Torreón","2013-12-31","\N","\N","4476538920.00","\N","\N","Pesos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cartera Hipotecaria","Torreón","2014-03-31","\N","\N","4664619926.00","\N","\N","Pesos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cartera Hipotecaria Vencida","Gómez Palacio","2008-12-31","\N","\N","\N","7.5700","\N","Porcentaje","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Cartera Hipotecaria Vencida","Gómez Palacio","2009-12-31","\N","\N","\N","7.5700","\N","Porcentaje","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Cartera Hipotecaria Vencida","Gómez Palacio","2010-12-31","\N","\N","\N","7.5700","\N","Porcentaje","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Cartera Hipotecaria Vencida","Gómez Palacio","2011-12-31","\N","\N","\N","6.0800","\N","Porcentaje","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Cartera Hipotecaria Vencida","Gómez Palacio","2012-12-31","\N","\N","\N","5.4400","\N","Porcentaje","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Cartera Hipotecaria Vencida","La Laguna","2008-12-31","\N","\N","\N","8.1200","\N","Porcentaje","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Cartera Hipotecaria Vencida","La Laguna","2009-12-31","\N","\N","\N","8.1200","\N","Porcentaje","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Cartera Hipotecaria Vencida","La Laguna","2010-12-31","\N","\N","\N","8.1200","\N","Porcentaje","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Cartera Hipotecaria Vencida","La Laguna","2011-12-31","\N","\N","\N","6.7400","\N","Porcentaje","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Cartera Hipotecaria Vencida","La Laguna","2012-12-31","\N","\N","\N","5.8600","\N","Porcentaje","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Cartera Hipotecaria Vencida","Lerdo","2008-12-31","\N","\N","\N","12.9600","\N","Porcentaje","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Cartera Hipotecaria Vencida","Lerdo","2009-12-31","\N","\N","\N","12.9600","\N","Porcentaje","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Cartera Hipotecaria Vencida","Lerdo","2010-12-31","\N","\N","\N","12.9600","\N","Porcentaje","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Cartera Hipotecaria Vencida","Lerdo","2011-12-31","\N","\N","\N","10.8300","\N","Porcentaje","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Cartera Hipotecaria Vencida","Lerdo","2012-12-31","\N","\N","\N","5.9400","\N","Porcentaje","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Cartera Hipotecaria Vencida","Matamoros","2008-12-31","\N","\N","\N","17.1000","\N","Porcentaje","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Cartera Hipotecaria Vencida","Matamoros","2009-12-31","\N","\N","\N","17.1000","\N","Porcentaje","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Cartera Hipotecaria Vencida","Matamoros","2010-12-31","\N","\N","\N","17.1000","\N","Porcentaje","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Cartera Hipotecaria Vencida","Matamoros","2011-12-31","\N","\N","\N","9.3800","\N","Porcentaje","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Cartera Hipotecaria Vencida","Matamoros","2012-12-31","\N","\N","\N","5.3800","\N","Porcentaje","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Cartera Hipotecaria Vencida","Torreón","2008-12-31","\N","\N","\N","7.6400","\N","Porcentaje","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Cartera Hipotecaria Vencida","Torreón","2009-12-31","\N","\N","\N","7.6400","\N","Porcentaje","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Cartera Hipotecaria Vencida","Torreón","2010-12-31","\N","\N","\N","7.6400","\N","Porcentaje","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Cartera Hipotecaria Vencida","Torreón","2011-12-31","\N","\N","\N","6.5000","\N","Porcentaje","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Cartera Hipotecaria Vencida","Torreón","2012-12-31","\N","\N","\N","5.9100","\N","Porcentaje","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Centros de Investigación","Gómez Palacio","2008-12-31","0","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","Gómez Palacio","2009-12-31","0","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","Gómez Palacio","2010-12-31","0","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","Gómez Palacio","2011-12-31","0","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","Gómez Palacio","2012-12-31","0","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","Gómez Palacio","2016-12-31","1","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","La Laguna","2008-12-31","0","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","La Laguna","2009-12-31","0","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","La Laguna","2010-12-31","0","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","La Laguna","2011-12-31","0","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","La Laguna","2012-12-31","0","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","La Laguna","2014-12-31","2","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","La Laguna","2016-12-31","\N","1.3000","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","Lerdo","2008-12-31","0","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","Lerdo","2009-12-31","0","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","Lerdo","2010-12-31","0","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","Lerdo","2011-12-31","0","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","Lerdo","2012-12-31","0","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","Lerdo","2016-12-31","0","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","Matamoros","2008-12-31","0","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","Matamoros","2009-12-31","0","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","Matamoros","2010-12-31","0","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","Matamoros","2011-12-31","0","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","Matamoros","2012-12-31","0","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","Matamoros","2016-12-31","0","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","Torreón","2008-12-31","0","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","Torreón","2009-12-31","0","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","Torreón","2010-12-31","0","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","Torreón","2011-12-31","0","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","Torreón","2012-12-31","0","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Centros de Investigación","Torreón","2016-12-31","1","\N","\N","\N","\N","Centros de investigación por cada 100 mil de PEA","IMCO","Índice de Competitividad Urbana, Innovación"
"Economía","Ciudad Fronteriza o Portuaria","Gómez Palacio","2008-12-31","0","\N","\N","\N","\N","Dummy (0,1,2)","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Ciudad Fronteriza o Portuaria","Gómez Palacio","2009-12-31","0","\N","\N","\N","\N","Dummy (0,1,2)","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Ciudad Fronteriza o Portuaria","Gómez Palacio","2010-12-31","0","\N","\N","\N","\N","Dummy (0,1,2)","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Ciudad Fronteriza o Portuaria","Gómez Palacio","2011-12-31","0","\N","\N","\N","\N","Dummy (0,1,2)","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Ciudad Fronteriza o Portuaria","Gómez Palacio","2012-12-31","0","\N","\N","\N","\N","Dummy (0,1,2)","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Ciudad Fronteriza o Portuaria","Gómez Palacio","2016-12-31","0","\N","\N","\N","\N","Dummy (0,1,2)","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Ciudad Fronteriza o Portuaria","La Laguna","2008-12-31","0","\N","\N","\N","\N","Dummy (0,1,2)","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Ciudad Fronteriza o Portuaria","La Laguna","2009-12-31","0","\N","\N","\N","\N","Dummy (0,1,2)","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Ciudad Fronteriza o Portuaria","La Laguna","2010-12-31","0","\N","\N","\N","\N","Dummy (0,1,2)","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Ciudad Fronteriza o Portuaria","La Laguna","2011-12-31","0","\N","\N","\N","\N","Dummy (0,1,2)","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Ciudad Fronteriza o Portuaria","La Laguna","2012-12-31","0","\N","\N","\N","\N","Dummy (0,1,2)","IMCO","Índice de Competitividad Urbana, Mercados"
"Economía","Ciudad Fronteriza o Portuaria","La Laguna","2016-12-31","0","\N","\N","\N","\N","Dummy (0,1,2)","IMCO","Índice de Competitividad Urbana, Mercados"
